serialn_long	Serialn	lat	lon	startdate	enddate
ODIN-0005 (90143)	ODINSD0005	-44.94322078	168.8365159	11/09/2019 16:00	
ODIN-0014 (90234)	ODINSD0014	-44.94351173	168.8420213	11/09/2019 16:00	
ODIN-0016 (90259)	ODINSD0016	-44.94784959	168.8379819	11/09/2019 16:00	
ODIN-0026 (90358)	ODINSD0026	-44.95028351	168.8430574	11/09/2019 16:00	
ODIN-0031 (90408)	ODINSD0031	-44.94364209	168.8327715	11/09/2019 16:00	
TODO	ODINSD0037	-44.9472914131392	168.836948861213	02/06/2020 16:00	
TODO	ODINSD0038	-44.9382464279981	168.834140295238	02/06/2020 16:00	
ODIN-0052 (90077)	ODINSD0052	-44.94637786	168.8322563	11/09/2019 16:00	
ODIN-0053 (89665)	ODINSD0053	-44.94911674	168.8444582	11/09/2019 16:00	
TODO	ODINSD0059	-44.9466317106988	168.839161264237	02/06/2020 16:00	
ODIN-0060 (89921)	ODINSD0060	-44.94611871	168.8429102	11/09/2019 16:00	
TODO	ODINSD0061	-44.9390330819208	168.832704767635	02/06/2020 16:00	
ODIN-0063 (90002)	ODINSD0063	-44.94635565	168.844224	11/09/2019 16:00	
ODIN-0071 (89764)	ODINSD0071	-44.95098114	168.8452892	11/09/2019 16:00	
TODO	ODINSD0075	-44.9481268089258	168.838731151319	02/06/2020 16:00	
TODO	ODINSD0151	-44.9387851358981	168.830740383888	02/06/2020 16:00	
TODO	ODINSD0153	-44.946012880894	168.836906441942	02/06/2020 16:00	
TODO	ODINSD0159	-44.9443425268683	168.834593761338	02/06/2020 16:00	
TODO	ODINSD0164	-44.9476445682024	168.839487132676	02/06/2020 16:00	
TODO	ODINSD0166	-44.9434541954535	168.830657944942	02/06/2020 16:00	
TODO	ODINSD0173	-44.9453565271053	168.833261736951	02/06/2020 16:00	
TODO	ODINSD0174	-44.9432981282361	168.833415350512	02/06/2020 16:00	
ODIN-0175 (81992)	ODINSD0175	-44.94454822	168.8368761	11/09/2019 16:00	
TODO	ODINSD0176	-44.9406574916579	168.837389964678	02/06/2020 16:00	
TODO	ODINSD0177	-44.9381054726528	168.831294088426	02/06/2020 16:00	
ODIN-0178 (81976)	ODINSD0178	-44.94189305	168.8396739	21/08/2019 12:00	11/09/2019 15:00
TODO	ODINSD0179	-44.9482564564496	168.836655978333	02/06/2020 16:00	
ODIN-0180 (81927)	ODINSD0180	-44.951	168.84	3/07/2019 16:00	20/08/2019 12:00
ODIN-0181 (81919)	ODINSD0181	-44.94606754	168.8367946	11/09/2019 16:00	
ODIN-0182 (81901)	ODINSD0182	-44.95564411	168.8454162	11/09/2019 16:00	
ODIN-0183 (81877)	ODINSD0183	-44.95413027	168.8384641	11/09/2019 16:00	
ODIN-0184 (81851)	ODINSD0184	-44.94040889	168.8381517	11/09/2019 16:00	
ODIN-0185 (81869)	ODINSD0185	-44.94805116	168.8398676	11/09/2019 16:00	
ODIN-0187 (81000)	ODINSD0187	-44.95148913	168.8430543	11/09/2019 16:00	
TODO	ODINSD0188	-44.9470732235648	168.834269696535	02/06/2020 16:00	
ODIN-0189 (81109)	ODINSD0189	-44.94331325	168.8346622	11/09/2019 16:00	
ODIN-0190 (81034)	ODINSD0190	-44.94366463	168.8390568	11/09/2019 16:00	
ODIN-0191 (81042)	ODINSD0191	-44.94655029	168.838455	11/09/2019 16:00	
ODIN-0192 (81067)	ODINSD0192	-44.94053004	168.8362924	11/09/2019 16:00	
ODIN-0193 (81075)	ODINSD0193	-44.9457066	168.8343331	11/09/2019 16:00	
ODIN-0194 (81083)	ODINSD0194	-44.94964543	168.8376732	11/09/2019 16:00	
ODIN-0196 (81174)	ODINSD0196	-44.93967067	168.8324643	11/09/2019 16:00	
ODIN-0197 (81182)	ODINSD0197	-44.94750223	168.8418467	11/09/2019 16:00	
TODO	ODINSD0198	-44.9470146655918	168.834207565466	02/06/2020 16:00	
ODIN-0199 (81208)	ODINSD0199	-44.95113024	168.8396321	11/09/2019 16:00	
ODIN-0200 (81133)	ODINSD0200	-44.94508703	168.8304358	11/09/2019 16:00	
ODIN-0201 (81232)	ODINSD0201	-44.95815851	168.8410505	11/09/2019 16:00	
ODIN-0202 (81158)	ODINSD0202	-44.93944995	168.8276636	11/09/2019 16:00	
ODIN-0203 (81216)	ODINSD0203	-44.93932052	168.8352472	11/09/2019 16:00	
ODIN-0204 (81190)	ODINSD0204	-44.94979095	168.8409206	11/09/2019 16:00	
